Word,Chinese,Definition,Synonyms,Usage,Reference
aerial,"adj.航空的,生活在空气中的,空气的,高耸的n.天线",,,"- That was the aerial, Frank.",Flight of the Phoenix 2004-English
aerobics,"n.有氧运动法,增氧健身法(指跑步,优越等增强心肺循环功能的运动)",,,Aerobics class. Sorry.,American Psycho-English
aerodynamics,"n.空气动力学,气体力学",,,principles of aerodynamics...,Flight of the Phoenix 2004-English
aeronautics,"n.航空学,航空术",,,"He owns the Civil Aeronautics Board,",The Aviator 2004-English
aeroplane,n.飞机,,,"you believe that a $45,000 aeroplane",Pearl Harbor 2001
aerosol,"n.浮质(气体中的悬浮微粒,如烟,雾等),[化]气溶胶,气雾剂,烟雾剂",,,"weaponized, in aerosol form.",Batman Begins 2005
aerospace,n.航空宇宙,,,Quest Aerospace...,Spider Man - Trilogy 2002
aes,,,,,
aesthetic,"adj.美学的,审美的,有审美感的",,,"- It was quite aesthetic, really.",The Aviator 2004-English
afar,adv.遥远地,,,(Music) From heaven afar,Love Actually-English
affair,"n.事务,事件,私事,恋爱事件,(尤指关系不长久的)风流韵事",,,count of the affair.,Spider Man 2 2004 Extended
affairs,,,,to conclude my affairs.,Kingdom of Heaven 2005
affect,"vt.影响,感动,侵袭,假装",,,- Will it affect George?,Vanity Fair 2004
affected,"adj.受到影响的,受(疾病)侵袭的,假装的,做作的",,,Syringe affected with aids,The Legend of Speed 1999-en
affecting,"adj.感人的,动人的",,,I think it's affecting me.,The Lord of the Rings The Return of the King
affection,fond adj.  喜歡的；愛好的,,,the king's affection.,Kingdom of Heaven 2005
affectionate,"adj.亲爱的,挚爱的",,,and he was affectionate and sweet.,Hitch 2005
affectionately,"adv.挚爱地,亲切地",,,"have affectionately called ""X-Men"".",X Men 2000
affects,,,,"Well, grief affects us all in different ways,",Finding Neverland 2004-English
affiliated,"adj.附属的,有关连的",,,You're not affiliated with me!,The Incredibles 2004
affine,,,,,
affinity,"n.密切关系,吸引力,姻亲关系,亲合力",,,and felt an affinity with.,Amelie 2001
affirmative,"adj.肯定的,(对正式辩论中的问题)表示赞成的,(态度,方法等)积极的,乐观的,怀有希望的n.肯定语",,,- Affirmative. Is it a threat?,Mr and Mrs Smith 2005
afflicting,痛苦的,,,The illness afflicting Dr Dodd,Spider Man 2 2004 Extended
afford,"vt.提供,给予,供应得起,",,,- We can't afford to be wrong.,Spider Man 2 2004 Extended
affordance,,,,,
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对",,,It is an affront to nature.,Lilo and Stitch 2002
afghan,"adj.阿富汗的,阿富汗人的n.阿富汗人,阿富汗语,一种毛毯",,,some Afghan raiders,Amelie 2001
afloat,"adj.adv.飘浮的,在海上的,传播的",,,to keep them afloat...,About a Boy 2002-English
afraid,friendship n.友誼,,,But I'm afraid his life is a lonely one.,Vanity Fair 2004
africa,"隱約的出現appear as a shadowy form, especially one that is large or threatening. vehicles loomed out of the darkness.
a shape produced by a curve.
a loop of rope tied around their wrists.
not firmly or tightly fixed in place.
a loose tooth.",,,No one outside Africa,Spider Man 2 2004 Extended
african,n.非洲人adj.非洲的,,,average African male?,Spider Man 2 2004 Extended
aft,adv.在船尾,,,as she goes aft. That's why she's so fast.,Master and Commander The Far Side of the World-English
after,*disposition n.配置,,,"- Look after your carriage, mister.",Vanity Fair 2004
afterburner,n.喷射引擎等的加力燃烧室,,,Afterburner disengaged.,Batman Begins 2005
afterlife,"n.死后(灵魂)的生活,后半生,晚年",,,...they weep in the afterlife...,Kill Bill Vol 1 2003
aftermath,,,,,
afternoon,"n.午后,下午adv.下午的,晚期",,,"Good afternoon, gentlemen.",The Aviator 2004-English
afternoons,"adv.经常在下午发生,每天下午",,,...to keep spending your afternoons,Finding Neverland 2004-English
aftertaste,"n.回味,余韵",,,- Peaty aftertaste.,28 Days Later 2002
afterward,,,,,
afterwards,"adv.然后,后来地",,,and made peace afterwards.,The Lord of the Rings The Return of the King
ag,"adj.农业的 [域] Antigua and Barbuda ,安提瓜和巴布达 (Ag)symb [化]银 (silver)",,,Ook-lay in the ag-bay.,Monsters Inc 2001
again,"*exotic adj./n.異國風情的 foreign.
expand v.展開；擴大their business expanded into other hotels and；even (1) adv.甚至；連
even (2) adj./v.平坦的",,,We'll meet again in London.,Vanity Fair 2004
against,"define v.解釋；給…下定義
*definite adj.明確的；肯定的
*defy v.違抗 resist；depress v.使沮喪 +(someone)
depression n.沮喪",,,against me!,Spider Man 2 2004 Extended
agamemnon,"n.[希神]阿伽门农,特洛伊战争中希腊军队的统帅",,,Agamemnon.,Troy 2004
agar,"n.琼脂(一种植物胶,用海产石花菜类制成,可作冷食或微生物的培养基等),[植]石花菜",,,Saya boleh aturkan agar awak dibawa,Downfall 2004
agatha,n.阿加莎,,,Agatha nailed the time frame,Minority Report 2002
age,"n.年龄,成年,使用年限,同时期的人,时代v.变老,上年纪,成熟",,,Wouli Djem. And the age is?,Spider Man 2 2004 Extended
aged,"adj.年老的,...岁的,老年人特有的",,,"aged, cold,",The Notebook 2004
agency,"n.代理处,行销处,代理,中介",,,just like the Shaw Agency.,Ray 2004
agenda,"interaction n.相互影響  ongoing interaction between the two languages.
obstruct (someone or something) so as to prevent
*intercept v.中途阻止 them from continuing to a detination.
(of two things) able to be interchanged. eyepieces are interchangeable with.
communication or dealings between individuals or
groups. everyday social intercourse.
the monthly rate of interest.
she looked about her with interest.
arousing curiosity or interest. holding or catching the
*interesting adj.有趣的attention. an interesting debate.
take part in an activity without invitation or necessity.
interfere v.干預you promised not to interfere.
the action of interfering. an unwarranted interference
*interference n.干擾 with personal liberty.
situated within or inside; relating to the inside;
*interior n./adj.內部(的) inner. the interior lighting is not adequate.
coming between two things in time, place, order,
intermediate adj.中間的character. an intermediate stage of development.
of or situated on the inside. the tube had an internal
diameter of 1.1 mm. (millimeter)
existing, occurring, or carried on between two
or more nations. international trade.
a global computer network providing a variety of
Internet n.網際網路information. the guide is also available on the internet.
explain the meaning of (information, words, or
actions). the evidence is difficult to interpret. the action of explaining the meaning of something. the interpretation of data.
a person who interprets, especially one who
*interpreter n.口譯者translates speech orally.
break the continuity of (a line or surface).
interrupt v.打斷 the coastal plain is interrupted by chains of large lagoons.
the action of interrupting or being interrupted.
a chance to study without interruption.
*intersection n.橫切；路口 a point or line common to lines or surfaces
that intersect.",,,"what she does, without his own agenda?",Hitch 2005
agent,*dictation n.  聽寫；口述；命令；*disagree(ment) v.(n)不同意no one was willing to disagree with him.,,,"- You're a press agent, are you not?",The Aviator 2004-English
ages,,,,to see us off. It could be ages.,The Constant Gardener 2005-English
agg,,,,,
aggregate,,,,,
aggregation,,,,,
aggression,"n.进攻,侵略",,,"and not acts of aggression, as some",The Interpreter 2005-English
aggressive,"力學；機械學 the branch of applied mathematics dealing
with motion and forces producing motion. a metal disk with an inscription or design, made to commemorate an event or awarded.
the main means of mass communication.
their demands were publicized by the media.
relating to the science of medicine, or to the treatment
of illness and injuries. a medical center.
a substance used for medical treatment.
certain medications can cause dizziness.
the science or practice of the diagnosis, treatment.
he made distinguished contributions to medicine.
*medieval adj.中世紀的relating to the Middle Ages.
the action or practice of meditating. a life of meditation.
medium n.中間；媒介an agency or means of doing something. using the
latest technology as a medium for job creation.
溫順的quiet, gentle, and easily imposed on. I used to call her Miss Mouse because she was so meek and mild.
come into the presence or company of (someone) by chance or
arrangement. a week later I met him in the street.
meeting n.會議 an assembly of people. the early-dismissal policy will be",,,THIS IS AGGRESSIVE.,Constantine 2005
aggressively,"adv.侵略地,攻势地",,,aggressively.,How to Lose a Guy in 10 Days 2003
aggressor,"n.侵略者,攻击者",,,from aggressor who must,Final Fantasy The Spirits Within-English
agility,"n.敏捷,活泼",,,is a matter of Patience and agility.,Batman Begins 2005
aging,"n.老化,成熟的过程v.使变老",,,Ramblings of an aging fart.,The Constant Gardener 2005-English
agitated,"adj.激动的,表现不安的",,,"She was emotional and agitated,",Hero 2002 CHINESE
agitatedly,"adv.动摇,兴奋",,,(SPEAKING JAPANESE AGITATEDLY),Lost in Translation-English
aglow,"adj.通红的,发红的adv.发红地",,,¶¶ And with my face aglow ¶¶,Reign of Fire 2002-English
agnate,"adj.父系的,同族的,同种族的n.父系,同族亲属,同种族",,,How did that agnate get upstairs,The Island 2005
agnostic,n.[哲]不可知论者,,,You're an agnostic.,Donnie Darko
ago,"adv.以前的,以往的",,,"kind to my father once, many years ago.",Vanity Fair 2004
agony,"n.苦恼,极大的痛苦",,,"AND OVER IN SCREAMING, BRUTAL AGONY...",Constantine 2005
agrarian,"adj.有关土地的,耕地的",,,"is rural, even agrarian.",Sin City 2005-English
agrawala,,,,,
agree,"vi.同意,赞成...的意见,与...一致,承认,适合vt.同意",,,I don't agree.,Vanity Fair 2004
agreeable,"adj.使人愉快的,惬意的,适合的",,,so it has agreeable symmetry.,Mr and Mrs Smith 2005
agreed,"adj.已经过协议的,同意的",,,Then we are agreed.,Spider Man 2 2004 Extended
agreement,*consider v.認為；考慮 (+(something) ; be+considered+(on) ; +(that))；contract n./v.契約,,,I have a contracted agreement,Spider Man 2 2004 Extended
agricultural,,,,,
agriculture,"n.农业,农艺,农学",,,"Invested in agriculture,",Collateral 2004
ah,"int.啊,哈 [军] Attack Helicopter,攻击直升机 (AH)  希吉拉纪元,伊斯兰教纪元",,,Ah.!,Vanity Fair 2004
aha,int.啊哈,,,"Aha, Prince George, I gather.",Finding Neverland 2004-English
ahead,"adj.adv.在前,向前,提前,在前面",,,"you in the challenge that lies ahead. '""",Vanity Fair 2004
ahem,"int.啊咳,咳嗽或清嗓子的声音",,,"Ahem, you know what?",Ray 2004
aho,,,,,
ahold,n.抓 握adv.迎风航驶,,,How can I lay ahold of,"O Brother, Where Art Thou -English"
ahoy,int.喂(招呼远处人的声音),,,Starboard bow ahoy.,Master and Commander The Far Side of the World-English
ai,"[域] Anguilla ,安格拉; Aritificial Intelligence,人工智能;artificial insemination,人工授精",,,Listen. AI! I want you to do...,Collateral 2004
aid,"electronic adj.電子的 electronics n 電子學 elegant adj.優雅的；put (food) into the mouth and chew and swallow it. he was eating a hot dog.
*eccentric adj./n.古怪的(人) unconventional and slightly strange.
my favorite aunt is very eccentric.
*echo n.回聲；回響 the walls threw back the echoes of his footsteps.",,,Get a hearing aid.,The Aviator 2004-English
aide,"n.<美>助手,副官,侍从武官",,,Nous avons besoin de votre aide.,From Hell 2001
aids,"爱滋病,获得性免疫功能丧失综合症(Acquired Immure Deficiency Syndrome)",,,It's an AIDS hospice.,The Interpreter 2005-English
ail,"vt.折磨,使疼痛,使烦恼",,,"- (AIl) Here, here.",Love Actually-English
aileron,n.副翼,,,"...and full left aileron,",The Aviator 2004-English
aim,"*executive adj.執行的 having the power to put plans, actions, or laws into
effect. an executive chairman.   free from. these
*exempt v./adj./n.豁免(的)；被免除義務者patients are exempt",,,Aim careful,Sin City 2005-English
aimed,matter n.事情,,,was aimed at you...,The Interpreter 2005-English
aiming,,,,l was aiming for the toilet.,Finding Nemo 2003
aimless,"adj.无目的的,没有目标的",,,of aimless wanderin'?,"O Brother, Where Art Thou -English"
aimlessly,"adv.漫无目的地,没目标地",,,If you stand aimlessly,Oldboy 2003
ain,"adj.<苏>自己的;n.艾因河(位于法国东部);Advanced Intelligent Network,高级智能网络",,,And you will be my ain true love,Cold Mountain-English
air,feature n./v.特徵,,,I prefer the open air.,Vanity Fair 2004
airborne,"[军] Airborne,空运 (历法)阿布月(即犹太教历5月)",,,I believe we are airborne.,The Aviator 2004-English
airconditioning,,,,,
aircraft,*drought n.乾旱  the cause of Europe's recent droughts,,,We'll call it Hughes Aircraft.,The Aviator 2004-English
airfield,n.飞机场,,,an airfield left.,Pearl Harbor 2001
airflow,,,,,
airforce,,,,,
airing,"n.晾干,兜风",,,I'm airing out my feet.,Million Dollar Baby 2004
airline,n.定期航线,,,- You wanna buy the airline?,The Aviator 2004-English
airliner,"n.定期班机,客机",,,has set foot on an airliner.,The Aviator 2004-English
airmail,,,,,
airplane,n.飞机,,,"- Oh, Howard Hughes. The airplane picture?",The Aviator 2004-English
airport,"n.<主美>小型民用机场,私人飞机降落场",,,to the airport now.,The Aviator 2004-English
airspace,"n.空域,领空,编队飞行(或空中演习)所占用的空间",,,"his plane has two hours to clear US airspace,",The Interpreter 2005-English
airspeed,n.空速,,,Get all the airspeed you can,Pearl Harbor 2001
airstrip,n.飞机跑道,,,Rumors coming from a lonely airstrip,The Aviator 2004-English
airtight,,,,,
airwaves,电视广播,,,"Billy, welcome back to the airwaves.",Love Actually-English
